,0
0,9
1,9
2,1
3,1
4,1
5,8
6,2
7,1
8,1
9,2
10,1
11,10
12,1
13,5
14,4
15,4
16,2
17,1
18,6
19,2
20,2
21,1
22,1
23,2
24,2
25,4
26,2
27,8
28,8
29,1
30,4
31,1
32,1
33,4
34,4
35,4
36,1
37,1
38,1
39,2
40,1
41,2
42,6
43,1
44,1
45,2
46,2
47,1
48,4
49,4
50,2
51,6
52,4
53,1
54,3
55,3
56,9
57,1
58,3
59,1
60,1
61,1
62,4
63,1
64,6
65,2
66,1
67,4
68,2
69,1
70,1
71,1
72,1
73,4
74,1
75,2
76,1
77,9
78,6
79,4
80,9
81,1
82,1
83,2
84,3
85,1
86,2
87,2
88,4
89,1
90,4
91,2
92,1
93,1
94,1
95,1
96,6
97,4
98,2
99,4
100,1
101,4
102,4
103,1
104,4
105,1
106,1
107,1
108,4
109,1
110,2
111,2
112,1
113,1
114,1
115,4
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,3
125,4
126,1
127,1
128,4
129,2
130,6
131,1
132,1
133,4
134,1
135,4
136,6
137,3
138,6
139,1
140,1
141,1
142,1
143,1
144,4
145,1
146,2
147,1
148,2
149,2
150,2
151,1
152,2
153,4
154,4
155,1
156,8
157,1
158,1
159,1
160,1
161,4
162,1
163,2
164,4
165,4
166,8
167,1
168,4
169,4
170,2
171,1
172,1
173,1
174,1
175,2
176,2
177,1
178,8
179,1
180,1
181,1
182,2
183,2
184,2
185,1
186,3
187,8
188,1
189,4
190,2
191,2
192,1
193,9
194,1
195,3
196,2
197,1
198,2
199,1
200,2
201,4
202,4
203,1
204,4
205,1
206,6
207,1
208,4
209,9
210,4
211,4
212,4
213,1
214,1
215,1
216,1
217,2
218,4
219,2
220,6
221,1
222,1
223,1
224,2
225,2
226,1
227,4
228,3
229,1
230,1
231,4
232,4
233,1
234,1
235,1
236,3
237,4
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,2
247,2
248,2
249,2
250,1
251,4
252,1
253,3
254,1
255,2
256,1
257,4
258,1
259,2
260,6
261,2
262,1
263,4
264,4
265,4
266,1
267,1
268,1
269,8
270,2
271,2
272,6
273,4
274,1
275,2
276,1
277,1
278,4
279,1
280,4
281,1
282,1
283,1
284,1
285,2
286,4
287,1
288,1
289,1
290,1
291,1
