,0
0,2.0
1,4.0
2,1.0
3,4.0
4,1.0
5,1.0
6,3.0
7,8.0
8,3.0
9,1.0
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,6.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,3.0
24,1.0
25,6.0
26,2.0
27,1.0
28,2.0
29,2.0
30,1.0
31,1.0
32,2.0
33,4.0
34,5.0
35,2.0
36,1.0
37,3.0
38,3.0
39,1.0
40,1.0
41,6.0
42,1.0
43,1.0
44,6.0
45,2.0
46,2.0
47,1.0
48,1.0
49,4.0
50,1.0
51,6.0
52,3.0
53,2.0
54,1.0
55,2.0
56,3.0
57,3.0
58,1.0
59,6.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,2.0
67,1.0
68,1.0
69,1.0
70,1.0
71,8.0
72,3.0
73,2.0
74,1.0
75,1.0
76,1.0
77,2.0
78,2.0
79,3.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,1.0
86,2.0
87,3.0
88,4.0
89,1.0
90,4.0
91,1.0
92,6.0
93,4.0
94,2.0
95,1.0
96,3.0
97,3.0
98,1.0
99,1.0
100,1.0
101,6.0
102,1.0
103,1.0
104,3.0
105,1.0
106,1.0
107,1.0
108,2.0
109,1.0
110,1.0
111,1.0
112,6.0
113,2.0
114,1.0
115,1.0
116,4.0
117,4.0
118,1.0
119,1.0
120,3.0
121,3.0
122,2.0
123,1.0
124,1.0
125,1.0
126,1.0
127,5.0
128,1.0
129,1.0
130,1.0
131,1.0
132,3.0
133,2.0
134,1.0
135,1.0
136,4.0
137,1.0
138,1.0
139,4.0
140,1.0
141,1.0
142,1.0
143,3.0
144,2.0
145,5.0
146,1.0
147,1.0
148,1.0
149,1.0
150,3.0
151,2.0
152,1.0
153,1.0
154,1.0
155,2.0
156,4.0
157,3.0
158,1.0
159,4.0
160,1.0
161,1.0
162,3.0
163,3.0
164,3.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,2.0
171,1.0
172,4.0
173,4.0
174,3.0
175,1.0
176,4.0
177,5.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,4.0
184,3.0
185,1.0
186,1.0
187,1.0
188,2.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,3.0
195,1.0
196,1.0
197,2.0
198,1.0
199,3.0
200,1.0
201,1.0
202,3.0
203,8.0
204,2.0
205,1.0
206,4.0
207,1.0
208,2.0
209,2.0
210,1.0
211,1.0
212,1.0
213,1.0
214,2.0
215,2.0
216,2.0
217,1.0
218,2.0
219,1.0
220,3.0
221,1.0
222,1.0
223,1.0
224,2.0
225,2.0
226,2.0
227,1.0
228,1.0
229,3.0
230,1.0
231,1.0
232,2.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,6.0
239,1.0
240,1.0
241,4.0
242,3.0
243,3.0
244,1.0
245,4.0
246,1.0
247,1.0
248,4.0
249,3.0
250,1.0
251,1.0
252,2.0
253,1.0
254,1.0
255,1.0
256,1.0
257,4.0
258,3.0
259,2.0
260,1.0
261,1.0
262,3.0
263,3.0
264,1.0
265,4.0
266,1.0
267,2.0
268,1.0
269,2.0
270,1.0
271,1.0
272,1.0
273,3.0
274,2.0
275,2.0
276,2.0
277,6.0
278,1.0
279,4.0
280,3.0
281,8.0
282,3.0
283,1.0
284,3.0
285,1.0
286,3.0
287,1.0
288,2.0
289,1.0
290,1.0
291,2.0
292,3.0
293,4.0
294,1.0
295,1.0
296,1.0
297,1.0
298,4.0
299,3.0
300,3.0
301,2.0
302,2.0
303,2.0
304,1.0
305,3.0
306,6.0
307,1.0
308,1.0
309,8.0
310,4.0
311,6.0
312,6.0
313,1.0
314,1.0
315,4.0
316,1.0
317,1.0
318,1.0
319,3.0
320,1.0
321,2.0
322,1.0
323,3.0
324,1.0
325,3.0
326,1.0
327,3.0
328,2.0
329,6.0
330,4.0
331,1.0
332,1.0
333,6.0
334,1.0
335,1.0
336,4.0
337,2.0
338,4.0
339,3.0
340,4.0
341,1.0
342,3.0
343,2.0
344,6.0
345,1.0
346,4.0
