,0
0,3
1,9
2,1
3,1
4,1
5,8
6,1
7,1
8,1
9,2
10,1
11,10
12,1
13,10
14,4
15,1
16,3
17,1
18,3
19,2
20,2
21,7
22,1
23,1
24,1
25,1
26,3
27,8
28,8
29,1
30,4
31,1
32,1
33,9
34,4
35,1
36,1
37,1
38,1
39,1
40,5
41,1
42,3
43,8
44,1
45,2
46,2
47,1
48,1
49,1
50,2
51,3
52,6
53,1
54,3
55,3
56,7
57,1
58,3
59,2
60,1
61,1
62,4
63,1
64,6
65,2
66,1
67,2
68,2
69,6
70,1
71,1
72,1
73,10
74,8
75,2
76,2
77,3
78,5
79,6
80,3
81,1
82,1
83,2
84,9
85,1
86,2
87,3
88,8
89,1
90,1
91,3
92,1
93,1
94,1
95,1
96,5
97,4
98,2
99,5
100,1
101,4
102,1
103,1
104,4
105,1
106,1
107,1
108,4
109,8
110,3
111,2
112,1
113,1
114,1
115,4
116,1
117,1
118,1
119,1
120,1
121,1
122,2
123,1
124,3
125,6
126,1
127,1
128,2
129,2
130,5
131,1
132,1
133,5
134,1
135,4
136,6
137,3
138,5
139,1
140,2
141,8
142,1
143,1
144,5
145,1
146,2
147,1
148,5
149,1
150,2
151,8
152,2
153,5
154,6
155,1
156,5
157,5
158,1
159,1
160,1
161,1
162,8
163,2
164,4
165,1
166,8
167,1
168,1
169,5
170,2
171,5
172,8
173,6
174,1
175,2
176,2
177,1
178,8
179,1
180,1
181,2
182,2
183,2
184,2
185,1
186,3
187,8
188,1
189,4
190,2
191,2
192,1
193,9
194,1
195,3
196,2
197,1
198,2
199,1
200,2
201,1
202,7
203,1
204,6
205,1
206,3
207,1
208,2
209,3
210,4
211,6
212,10
213,1
214,1
215,1
216,1
217,2
218,2
219,1
220,1
221,1
222,1
223,1
224,2
225,2
226,1
227,2
228,3
229,1
230,1
231,8
232,1
233,1
234,1
235,1
236,3
237,5
238,1
239,1
240,8
241,1
242,1
243,1
244,1
245,2
246,3
247,2
248,1
249,2
250,1
251,1
252,1
253,3
254,1
255,1
256,1
257,6
258,1
259,2
260,5
261,2
262,1
263,2
264,4
265,4
266,1
267,1
268,1
269,5
270,1
271,2
272,6
273,6
274,8
275,1
276,5
277,1
278,1
279,1
280,4
281,1
282,1
283,8
284,1
285,2
286,7
287,8
288,4
289,1
290,1
291,1
292,9
293,1
294,5
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,9
303,1
304,3
305,1
306,1
307,1
308,1
309,1
310,8
311,3
312,2
313,1
314,2
315,3
316,2
317,1
318,2
319,1
320,1
321,2
322,8
323,1
324,1
325,8
326,6
327,1
328,1
329,1
330,1
331,1
332,8
333,1
334,1
335,1
336,1
337,8
338,3
339,6
340,6
341,4
342,1
343,1
344,1
345,2
346,6
347,3
348,5
349,1
350,1
351,3
352,2
353,1
354,1
355,1
356,1
357,3
358,7
359,1
360,1
361,1
362,8
363,3
364,1
365,3
366,1
367,2
368,2
369,6
370,2
371,2
372,1
373,1
374,1
375,2
376,1
377,1
378,1
379,1
380,8
381,1
382,1
383,1
384,1
385,3
386,3
387,1
388,1
389,2
390,1
391,1
392,6
393,1
394,4
395,7
396,1
397,6
398,8
399,1
400,2
401,1
402,10
403,1
404,2
405,2
406,1
407,7
408,1
409,1
410,1
411,4
412,8
413,1
414,2
415,1
416,4
417,1
418,6
419,5
420,1
421,2
422,2
423,6
424,1
425,4
426,2
427,6
428,5
429,3
430,1
431,1
432,1
433,4
434,8
435,1
436,3
437,9
438,9
439,7
440,6
441,1
442,1
443,1
444,3
445,3
446,1
447,1
448,9
449,1
450,1
451,2
452,1
453,1
454,2
455,1
456,3
457,1
458,5
459,1
460,4
461,1
462,1
463,1
464,1
465,8
466,1
467,1
468,1
469,8
470,6
471,1
472,1
473,1
474,2
475,1
476,3
477,1
478,1
479,1
480,2
481,8
482,10
483,3
484,1
485,3
486,1
487,1
488,1
489,1
490,1
491,7
492,1
493,6
494,1
495,1
496,3
497,7
498,5
499,1
500,6
501,1
502,1
503,1
504,1
505,2
506,1
507,8
508,2
509,1
510,2
511,5
512,1
513,1
514,9
515,4
516,2
517,10
518,1
519,1
520,3
521,1
522,1
523,1
524,1
525,1
526,1
527,7
528,1
529,1
530,2
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,3
539,7
540,1
541,3
542,4
543,1
544,1
545,2
546,2
547,8
548,5
549,5
550,1
551,2
552,8
553,1
554,8
555,2
556,1
557,10
558,4
559,1
560,1
561,6
562,2
563,5
564,1
565,1
566,6
567,10
568,2
569,5
570,1
571,1
572,1
573,1
574,4
575,3
576,2
577,1
578,2
579,2
580,1
581,6
582,1
583,5
584,2
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,6
597,1
598,1
599,6
600,6
601,3
602,5
603,1
604,2
605,1
606,1
607,1
608,2
609,1
610,8
611,1
612,3
613,3
614,1
615,3
616,1
617,1
618,2
619,1
620,1
621,2
622,1
623,1
624,2
625,8
626,5
627,1
628,6
629,4
630,2
631,1
632,2
633,3
634,1
635,4
636,6
637,1
638,1
639,6
640,3
641,4
642,8
643,8
644,1
645,1
646,2
647,5
648,1
649,1
650,3
651,1
652,6
653,2
654,2
655,1
656,6
657,1
658,1
659,4
660,3
661,1
662,1
663,2
664,4
665,5
666,9
667,8
668,3
669,1
670,2
671,1
672,1
673,1
674,8
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,4
685,5
686,5
687,6
688,2
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,6
698,1
699,1
700,2
701,2
702,1
703,1
704,1
705,2
706,1
707,1
708,1
709,1
710,1
711,2
712,10
713,1
714,7
715,8
716,1
717,9
718,1
719,1
720,2
721,2
722,8
723,2
724,3
725,1
726,3
727,1
728,1
729,1
730,1
731,1
732,5
733,10
734,5
735,1
736,1
737,2
738,6
739,1
740,1
741,2
742,4
743,1
744,2
745,3
746,5
747,1
748,1
749,1
750,1
751,3
752,2
753,6
754,8
755,1
756,1
757,1
758,8
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,4
768,1
769,1
770,1
771,1
772,1
773,1
774,5
775,4
776,1
777,1
778,1
779,7
780,1
781,7
782,1
783,9
784,1
785,1
786,2
787,3
788,1
789,1
790,1
791,7
792,1
793,3
794,2
795,1
796,6
797,1
798,1
799,1
800,8
801,1
802,6
803,1
804,1
805,2
806,1
807,1
808,1
809,2
810,1
811,8
812,2
813,1
814,2
815,1
816,5
817,1
818,8
819,2
820,2
821,1
822,3
823,1
824,6
825,6
826,1
827,2
828,1
829,2
830,6
831,5
832,8
833,8
834,8
835,1
836,1
837,3
838,5
839,8
840,2
841,2
842,5
843,4
844,3
845,5
846,1
847,4
848,8
849,6
850,2
851,1
852,1
853,1
854,1
855,1
856,1
857,2
858,3
859,6
860,1
861,3
862,2
863,1
864,1
865,3
866,1
867,2
868,5
869,1
870,1
871,1
872,1
873,1
874,5
875,1
876,1
877,5
878,5
879,8
880,2
881,4
882,2
883,2
884,7
885,3
886,4
887,1
888,6
889,1
890,4
891,4
892,6
893,8
894,1
895,1
896,1
897,4
898,2
899,1
900,1
901,2
902,2
903,5
904,8
905,2
906,1
907,8
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,5
916,1
917,4
918,1
919,1
920,1
921,1
922,1
923,1
924,4
925,3
926,1
927,6
928,6
929,1
930,2
931,1
932,2
933,2
934,2
935,1
936,1
937,1
938,10
939,1
940,5
941,1
942,4
943,3
944,2
945,1
946,1
947,10
948,2
949,2
950,7
951,1
952,1
953,7
954,1
955,4
956,1
957,10
958,1
959,3
960,2
961,2
962,3
963,1
964,6
965,1
966,6
967,6
968,5
969,3
970,4
971,1
972,1
973,9
974,3
975,3
976,2
977,2
978,1
979,2
980,2
981,1
982,1
983,1
984,8
985,1
986,4
987,6
988,2
989,2
990,1
991,1
992,9
993,1
994,4
995,1
996,8
997,6
998,3
999,1
1000,1
1001,1
1002,5
1003,3
1004,5
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,4
1012,2
1013,1
1014,3
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,3
1022,1
1023,1
1024,7
1025,3
1026,1
1027,1
1028,1
